iter	Passed	Remaining
0	7	7756
1	14	7002
2	18	6183
3	22	5678
4	26	5361
5	315	55	96	376	75	10707
7	90	11215
8	104	11491
9	112	11162
10	121	10879
11	130	10763
12	146	11129
13	161	11394
14	170	11219
15	185	11382
16	189	10930
17	201	10980
18	211	10930
19	221	10877
20	231	10781
21	244	10882
22	259	11029
23	269	10959
24	286	11185
25	299	11207
26	315	11367
27	328	11420
28	349	11716
29	368	11902
30	379	11849
31	391	11840
32	405	11875
33	416	11826
34	427	11782
35	436	11693
36	448	11684
37	461	11685
38	470	11589
39	482	11587
40	491	11506
41	507	11570
42	510	11371
43	524	11385
44	530	11262
45	547	11348
46	557	11302
47	571	11332
48	575	11162
49	586	11135
50	599	11151
51	616	11238
52	627	11207
53	643	11272
54	659	11336
55	670	11295
56	681	11281
57	687	11170
58	697	11123
59	710	11126
60	716	11033
61	724	10956
62	735	10945
63	747	10939
64	759	10921
65	769	10886
66	778	10840
67	790	10828
68	803	10841
69	814	10821
70	826	10818
71	835	10766
72	844	10723
73	850	10641
74	857	10575
75	866	10538
76	876	10511
77	889	10514
78	896	10448
79	901	10369
80	906	10288
81	914	10243
82	923	10198
83	935	10196
84	943	10157
85	952	10124
86	963	10115
87	972	10083
88	980	10032
89	988	9993
90	996	9956
91	1003	9908
92	1011	9860
93	1019	9821
94	1023	9754
95	1036	9755
96	1048	9763
97	1058	9744
98	1063	9682
99	1067	9607
100	1076	9577
101	1084	9545
102	1092	9516
103	1101	9486
104	1108	9448
105	1120	9449
106	1127	9409
107	1132	9356
108	1147	9382
109	1157	9362
110	1170	9370
111	1178	9342
112	1184	9301
113	1191	9261
114	1201	9249
115	1207	9205
116	1217	9185
117	1228	9182
118	1241	9191
119	1251	9178
120	1260	9156
121	1266	9114
122	1273	9083
123	1285	9083
124	1291	9039
125	1299	9012
126	1308	8994
127	1320	8997
128	1328	8967
129	1335	8940
130	1345	8922
131	1351	8888
132	1362	8880
133	1367	8838
134	1374	8806
135	1380	8771
136	1388	8747
137	1398	8732
138	1405	8704
139	1411	8668
140	1422	8665
141	1430	8641
142	1438	8623
143	1445	8592
144	1455	8579
145	1458	8532
146	1464	8496
147	1471	8473
148	1479	8452
149	1489	8440
150	1499	8433
151	1511	8431
152	1521	8425
153	1531	8414
154	1540	8398
155	1550	8386
156	1555	8349
157	1564	8335
158	1571	8311
159	1583	8311
160	1593	8303
161	1602	8290
162	1613	8284
163	1621	8266
164	1626	8229
165	1634	8213
166	1642	8194
167	1656	8203
